ID,ID,naam,omschrijving,kleur,maat,leeftijd,categorie,afbeeldingproduct,productactief,toegevoegdop,toegevoegdop
11117,11117,Voorjaars regenjas,Houd de regen en wind tegen. Is gevoerd,Rood,S,,18,/winkel/foto/Voorjaars regenjas_1950045613.jpg,1,2017-12-07 20:01:04,2017-12-07 20:01:04
11142,11142,Sandalen,Met gesloten hiel,Roze,24,,37,/winkel/foto/Sandalen_954485222.jpg,0,2017-04-06 12:41:22,2017-04-06 12:41:22
11148,11148,Slippers,Met enkelbandje,Roze,21,,37,/winkel/foto/Slippers_599078242.jpg,0,2017-12-07 20:01:04,2017-12-07 20:01:04
11171,11171,Drakenknuffel,Knuffel,Groen,,,33,/winkel/foto/Drakenknuffel_1696494624.jpg,0,2017-04-07 18:58:47,2017-04-07 18:58:47
11173,11173,Knuffel,Kikker,Groen,Ca 20  m,,33,/winkel/foto/Knuffel_2087245563.jpg,0,2017-04-07 19:02:42,2017-04-07 19:02:42
11175,11175,Dekentje,Katoenen dekentje,Divers,65x65 cm,,34,/winkel/foto/Dekentje_1337429176.jpg,0,2017-12-07 20:01:04,2017-12-07 20:01:04
11241,11241,DVD s,4 dvd s,,,,7,/winkel/foto/DVD s_414344327.jpg,1,2017-12-07 20:01:04,2017-12-07 20:01:04
11249,11249,DVD s,Verschillende dvd,,,,7,/winkel/foto/DVD s_920210193.jpg,1,2017-12-07 20:01:04,2017-12-07 20:01:04
11260,11260,Zwembroek skatebroek,Met binnenbroek en afritsbare pijp,Grijs divers,164,,15,/winkel/foto/Zwembroek skatebroek_998489232.jpg,0,2017-12-07 20:01:04,2017-12-07 20:01:04
11264,11264,Boeken,5 boeken,,,,38,/winkel/foto/Boeken_1740841866.jpg,0,2017-04-14 10:49:13,2017-04-14 10:49:13
11265,11265,Boeken,5 boeken,,,,38,/winkel/foto/Boeken_1215872578.jpg,0,2017-12-07 20:01:04,2017-12-07 20:01:04
11269,11269,DVD s,4 verschillende ,,,,38,/winkel/foto/DVD s_685780789.jpg,0,2017-12-07 20:01:04,2017-12-07 20:01:04
11273,11273,Zwembroek,Met binnenbroek,Blauw divers,176,,15,/winkel/foto/Zwembroek_469085264.jpg,0,2017-12-07 20:01:04,2017-12-07 20:01:04
11274,11274,Zwembroek,Zwembroek,Zwart,164,,15,/winkel/foto/Zwembroek_217173582.jpg,1,2017-12-07 20:01:04,2017-12-07 20:01:04
11279,11279,Boeken,5 boeken,,,,38,/winkel/foto/Boeken_1843516983.jpg,1,2017-12-07 20:01:04,2017-12-07 20:01:04
11302,11302,DVD s,4 dvd s,,,,38,/winkel/foto/DVD s_418703480.jpg,0,2017-12-07 20:01:04,2017-12-07 20:01:04
11314,11314,Boekjes,Leuke kleine boekjes,,,,33,/winkel/foto/Boekjes_1860509944.jpg,0,2017-12-07 20:01:04,2017-12-07 20:01:04
11316,11316,Vingerpopjes,5 verschillende popjes,Divers,,,33,/winkel/foto/Vingerpopjes_1536853039.jpg,0,2017-04-18 17:06:33,2017-04-18 17:06:33
11319,11319,Babyspeeltjes,Knisperboekje plus geluidenballen,Divers,,,33,/winkel/foto/Babyspeeltjes_1294297420.jpg,0,2017-04-18 17:10:39,2017-04-18 17:10:39
11324,11324,Blokkenpuzzel,Met voorbeeldboekje,,,,33,/winkel/foto/Blokkenpuzzel_534269823.jpg,0,2017-12-07 20:01:04,2017-12-07 20:01:04
